input,output,se_order
"mirip kost an . mmg masih baru sih . overall , semua bagus . cuma miris buanget pas masuk kamar . hp saya langsung no signal . di kota besar yang sudah 4g tetapi signal 2g juga tidak ada . masa kita tidak bisa komunikasian sama keluarga . kalau mau telepon harus lari ke teras untuk dapatkan signal .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> overall <extra_id_1> bagus <extra_id_2> positive,aos
dilayani dengan baik . check in lebih awal tidak kena biaya .| aspek : <extra_id_0>,<extra_id_0> dilayani,a
"pelayanan kurang baik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> kurang baik,ao
"pngen kembali lagi buat menginap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
ac tidak dingin sama sekali sampai saya akhirnya mutusin buat check - out . kasurnya banyak sekali pasir dan ngeres buat tidur . airnya bau seperti air payau .| opini : <extra_id_0>,<extra_id_0> tidak dingin ; <extra_id_1> banyak sekali pasir ; <extra_id_2> ngeres ; <extra_id_3> bau ; <extra_id_4> payau,o
setiap menginap di airy pasti puas banget . pelayanannya ramah . cuma yang ini . kamar mandinya bau . air panasnya tidak nyala . tidak ada tempat sampah di kamar . tidak ada snack . padahal setiap menginap di airyroom selalu disediakan .| opini : <extra_id_0>,<extra_id_0> ramah ; <extra_id_1> bau ; <extra_id_2> tidak nyala ; <extra_id_3> tidak ada ; <extra_id_4> tidak ada,o
lumayan . sesuai harga murah neriah .| opini : <extra_id_0>,<extra_id_0> murah ; <extra_id_1> lumayan,o
"kamar bersih walaupun kecil , ramah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> kamar <extra_id_3> kecil ; <extra_id_4> NULL <extra_id_5> ramah,ao
"kamarnya bagus dengan budget segitu nyaman banget .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive,as
"baik tetapi kebersihanya kurang .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kebersihanya <extra_id_1> kurang ; <extra_id_2> NULL <extra_id_3> baik,ao
"nyaman dan bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"tempatnya oke lah , bersih dan nyaman .| opini : <extra_id_0>",<extra_id_0> oke ; <extra_id_1> bersih ; <extra_id_2> nyaman,o
"Tapi ternyata terbaik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
Dan dapat kamar yg gak ada hair dryernya .| aspek : <extra_id_0>,<extra_id_0> hair dryernya,a
"sangat nyaman , aman dan tenang suasana nya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> suasana nya <extra_id_1> sangat nyaman ; <extra_id_2> suasana nya <extra_id_3> aman ; <extra_id_4> suasana nya <extra_id_5> tenang,ao
"acnya kurang dingin , wifi juga tidak ada : ( .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> acnya <extra_id_1> negative ; <extra_id_2> wifi <extra_id_3> negative,as
tingkatkan kebersihan seprai kasur dan bantal serta selimut . terima kasih .| opini : <extra_id_0>,<extra_id_0> tingkatkan kebersihan,o
"kamar yang bocor , servisnya kurang , kebersihan .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> servisnya,a
bagus sih tempatnya tetapi masa harga airy lebih mahal daripada harga on the spot .| opini : <extra_id_0>,<extra_id_0> bagus,o
"dapat kamar yang ac panas dan wifi tidak bisa , di move ke kamar tipe suite kamarnya luas sekali . terima kasih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> ac <extra_id_1> negative ; <extra_id_2> wifi <extra_id_3> negative ; <extra_id_4> kamarnya <extra_id_5> positive,as
"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> properti nya <extra_id_1> kurang diperlengkapi <extra_id_2> negative ; <extra_id_3> properti nya <extra_id_4> kurang nyaman <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> bersih <extra_id_8> positive ; <extra_id_9> NULL <extra_id_10> rapi <extra_id_11> positive,aos
hotel nyaman dan lokasi strategis .| aspek : <extra_id_0>,<extra_id_0> hotel ; <extra_id_1> lokasi,a
"secara pelayanan saya suka . tetapi ada sdikit yang saya kurang suka dengan toitet nya yang dibeberapa kamar kurang baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> toitet nya <extra_id_3> negative,as
"tempatnya bersih , tenang cocok untuk istirahat .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> bersih ; <extra_id_2> tempatnya <extra_id_3> tenang,ao
"bersih , nyaman , tenang . mbaknya baikbaik , di bantuin bawa barang dari lantai 4 .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> mbaknya <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
bagus bersih wifi lambat handuk bau itu saja yang di benahi selebihnya nyaman saja .| opini : <extra_id_0>,<extra_id_0> lambat ; <extra_id_1> bau ; <extra_id_2> nyaman ; <extra_id_3> bagus ; <extra_id_4> bersih,o
"The atmosphere at night many angkringan snacks hangout the atmosphere is quite crowded and makes you miss , the service is friendly , check-in is also fast .| opini : <extra_id_0>",<extra_id_0> makes you miss ; <extra_id_1> friendly ; <extra_id_2> is also fast,o
"pelayanan bagus untuk budget hotel .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> bagus <extra_id_2> positive,aos
"tempat bersih , nyaman , dan canggih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> tempat <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> tempat <extra_id_7> canggih <extra_id_8> positive,aos
"minus air panas , ac kurang dingin , tidak ada keran buat wudhu . tetapi afterall its oke , suasananya nyaman tanpa ada suara kendaraan , dan tidak bising .| aspek : <extra_id_0>",<extra_id_0> air panas ; <extra_id_1> ac ; <extra_id_2> afterall ; <extra_id_3> suasananya,a
"hotelnya bagus , pelayanan oke , dekat dengan fasilitas umum . terimakasih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> positive ; <extra_id_2> pelayanan <extra_id_3> positive,as
"lumayan untuk bacpakeran , harganya terjangkau banget . tempatnya bersih , cuma seprainya agak berdebu .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harganya <extra_id_1> positive ; <extra_id_2> tempatnya <extra_id_3> positive ; <extra_id_4> seprainya <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> positive,as
"hotelnya nyaman , breakfastnya variatif dan pelayanannya bagus . terimakasih airy .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> variatif ; <extra_id_2> bagus,o
"kurang puas sama kamar nya karena ac tidak dingin dan saluran shower room tersumbat jadi air menggenang .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar nya <extra_id_1> negative ; <extra_id_2> ac <extra_id_3> negative ; <extra_id_4> saluran shower room <extra_id_5> negative,as
"kamar mandinya jorok .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar mandinya <extra_id_1> negative,as
"ac kamar nya mengeluarkan suara berisik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ac <extra_id_1> berisik <extra_id_2> negative,aos
"fasilitas baik seperti pada umumnya . hanya saya bangunan hotel terlihat seperti bangunan lama sehingga saya pribadi kurang nyaman . overall baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> fasilitas <extra_id_1> positive ; <extra_id_2> overall <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> negative,as
pengalaman yang buruk . 2 helm saya hilang dan pihak hotel tidak memberikan pertanggung jawaban .| aspek : <extra_id_0>,<extra_id_0> pengalaman,a
sangat baik dan ramah penjagax .| opini : <extra_id_0>,<extra_id_0> sangat baik ; <extra_id_1> ramah,o
"tempat yang nyaman untuk menginap . semuanya bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive ; <extra_id_2> semuanya <extra_id_3> positive,as
mantap seperti perumahan begitu .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"Kamar yang saya tempati sangat bising sehingga mengganggu istirahat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> Kamar <extra_id_1> negative ; <extra_id_2> mengganggu <extra_id_3> negative,as
"kamar nyaman , bersih , dan karyawannya ramah "" dan baik "" . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> karyawannya <extra_id_7> ramah <extra_id_8> positive ; <extra_id_9> karyawannya <extra_id_10> baik <extra_id_11> positive ; <extra_id_12> NULL <extra_id_13> agak bising <extra_id_14> negative ; <extra_id_15> NULL <extra_id_16> rekomen banget <extra_id_17> positive,aos
Keep up the good work ya .| opini : <extra_id_0>,NULL,o
"enak siih tetapi kulkasnya mati , banyak nyamuk .| aspek : <extra_id_0>",<extra_id_0> kulkasnya ; <extra_id_1> NULL,a
untuk seprai dan bed nya mungkin bisa di perbaiki lagi . terimakasih .| aspek : <extra_id_0>,<extra_id_0> seprai ; <extra_id_1> bed nya,a
"kurang respons kalau konsumen minta bantu .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> respons <extra_id_1> kurang <extra_id_2> negative,aos
"staf ramah sekali , terutama saat breakfast .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> staf <extra_id_1> positive,as
"terbaik di kelasnya . , .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> terbaik,ao
"tempat bersih . nyman tidak berisik , cocok banget untuk santai di weekend dan liburan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> tempat <extra_id_4> nyman <extra_id_5> positive ; <extra_id_6> tempat <extra_id_7> tidak berisik <extra_id_8> positive ; <extra_id_9> tempat <extra_id_10> cocok banget <extra_id_11> positive,aos
tidak diingatkan pengembalian uang deposit pada saat check out .| opini : <extra_id_0>,NULL,o
"kamarnya butuh perbaikan . dinding kamar dan pintupintu .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> butuh perbaikan,ao
"tidak cocok untuk keluarga . kamar campur dengan ruang karoke , .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"kamar nya agak lega| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar nya <extra_id_1> positive,as
"kamar lumayan baik , tempat strategis di antara tunjungan plaza dan grand kota mall .| opini : <extra_id_0>",<extra_id_0> lumayan baik ; <extra_id_1> strategis,o
"cukup baik , lokasi sangat strategis .| opini : <extra_id_0>",<extra_id_0> sangat strategis ; <extra_id_1> cukup baik,o
"lokasi nyaman dan tenang .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> positive,as
"front office kurang welcome ke tamu , kebersihan kurang banget , lokasi parkir yang terlalu minim terimakasih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> front office <extra_id_1> negative ; <extra_id_2> kebersihan <extra_id_3> negative ; <extra_id_4> lokasi parkir <extra_id_5> negative,as
"tempat bersih , nyaman , dan canggih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive,as
"bersih . luas .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"pelayanan jelek banget . rasa mau pindah hotel saja . tidak ramah karyawan nya . mau sarapan pagi saja . kita sebagai tamu bisa di atur . waduh masak yang bayar yang di atur . kacau .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> jelek banget ; <extra_id_2> karyawan nya <extra_id_3> tidak ramah,ao
"tolong jika hotel sedang di renovasi jangan ' dijual ' dulu , pihak airy sebaiknya mengecek , evaluasi dan monitoring hotelhotel yang bekerjasama dengan airy . hotel ini - karena adanya aktivitas tenovasi - jadi kotor dan berdebu , mulai dari lobi , tangga sampai ke koridor depan kamar . apalagi kondisi tangganya yang kotor , kusam dan berdebu dan seram .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotel ini <extra_id_1> kotor <extra_id_2> negative ; <extra_id_3> hotel ini <extra_id_4> berdebu <extra_id_5> negative ; <extra_id_6> tangganya <extra_id_7> kotor <extra_id_8> negative ; <extra_id_9> tangganya <extra_id_10> kusam <extra_id_11> negative ; <extra_id_12> tangganya <extra_id_13> berdebu <extra_id_14> negative ; <extra_id_15> tangganya <extra_id_16> seram <extra_id_17> negative,aos
"guest house yang tidak akan pernah saya rekomendasikan untuk menginap bersama keluarga karena tidak terawat berkesan pemilik tidak mau tahu dengan investasinya , seprai dan sarung bantal lubang lubang terlihat lusuh pasti sudah terpakai bertahun tahun , banyak nyamuk .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> seprai <extra_id_1> negative ; <extra_id_2> sarung bantal <extra_id_3> negative ; <extra_id_4> guest house <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> negative,as
"pelayan nya kurang memuaskan hanya di tnya air panas saja muka nya merengut dan secara terpaksa untuk membantu .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayan nya <extra_id_1> negative,as
night of the week there is a bbq .| aspek : <extra_id_0>,<extra_id_0> bbq,a
"kondisi kamar jadul dan kumuh . lalu saya complain dengan resepsionis . dan di pindahkan kamar ke lantai 1 , resepsionis cepat menanggapi complain kami .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> jadul ; <extra_id_2> kamar <extra_id_3> kumuh ; <extra_id_4> resepsionis <extra_id_5> cepat,ao
"mksh iya atas pelayanan nya mas azis sama mas irfan alhamdullilah q bsistirahat setiap saat .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"ini adalah 1x saya pakai airy . kesan 1 memang beda pelayanan dengan hotel berbintang , tetapi fine . kaget surprise dan senang banget dapat box meal free pula . kebersihan kerapian kamar keren deh . apalagi kamar mandi bathup mantap wes . sayang ac kurang dingin , tv mati hidup sendiri berulangberulang bahkan respons resepsionis buruk . internet jelek banget . lumayan saja wes .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kebersihan kerapian kamar <extra_id_1> keren ; <extra_id_2> kamar mandi <extra_id_3> mantap ; <extra_id_4> ac <extra_id_5> kurang dingin ; <extra_id_6> tv <extra_id_7> mati hidup sendiri ; <extra_id_8> resepsionis <extra_id_9> buruk ; <extra_id_10> internet <extra_id_11> jelek banget ; <extra_id_12> NULL <extra_id_13> lumayan,ao
"sudah cukup baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"Fun , clean and friendly 2 holidays to Yogya stay at the Grand Zuri .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"penginapannya di dalam komplek perumahan , jadi sangat nyaman dan jauh dari kebisingan . very rekomen .| aspek : <extra_id_0>",<extra_id_0> penginapannya,a
Kolam renangnya juga keren .| opini : <extra_id_0>,<extra_id_0> keren,o
"bagus , hanya agak kecil air kamar mandinya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air kamar mandinya <extra_id_1> agak kecil ; <extra_id_2> NULL <extra_id_3> bagus,ao
pelayanan nya sangat bagus . kamar nya juga oke .| opini : <extra_id_0>,<extra_id_0> sangat bagus ; <extra_id_1> oke,o
"untuk kedua kalinya . very bagus .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> very bagus <extra_id_2> positive,aos
"didalam kampung , gang masuknya kecil sering ada yang parkir di gang jadi mobil tidak bisa masuk kalau dari jalan . kol sutarto .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"tetapi sayang ac iya tidak dingin tetapi untuk keseluruhan sih bagus .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ac <extra_id_1> tidak dingin ; <extra_id_2> keseluruhan <extra_id_3> bagus,ao
"saya tidak sampai semalam hanya singgah saja tetapi memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> memuaskan,ao
tidak ada tempat parkir mobil ( motor bisa parkir ) . tetapi overall kami puas .| aspek : <extra_id_0>,<extra_id_0> tempat parkir mobil ; <extra_id_1> overall,a
"Hanya minus blm tersedia kolam renang .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kolam renang <extra_id_1> blm tersedia,ao
"kamarnya bersih , rapi , alat mandi lengkap , dan disediakan makanan ringan di dalam kamar . sarapan roti dan minuman seduh sendiri . sangat direkomendasi buat yang budget minimal . terimakasih .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> rapi ; <extra_id_2> lengkap ; <extra_id_3> disediakan ; <extra_id_4> sangat direkomendasi,o
hotel di pusat kota dan kamarnya bersih .| aspek : <extra_id_0>,<extra_id_0> kamarnya,a
sangat baik sekali dari semua hal .| opini : <extra_id_0>,<extra_id_0> sangat baik sekali,o
"kesan pertama waktu buka pintu , yang keciuman bahkan bau toiletnya : ( sarapannya ditingkatkan lagi iya . overall sih oke , tempat yang cocok untuk persinggahan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> toiletnya <extra_id_1> bau ; <extra_id_2> sarapannya <extra_id_3> ditingkatkan lagi ; <extra_id_4> overall <extra_id_5> oke,ao
"airy mantap . makanan nya oke snacksnack .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> airy <extra_id_1> mantap ; <extra_id_2> makanan nya <extra_id_3> oke,ao
"Bagus sekali hotelnya rekom bgtt pokok .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> Bagus sekali ; <extra_id_2> hotelnya <extra_id_3> rekom bgtt,ao
"kamarnya tidak ada jendela , ac kurang dingin , seprei/bantal agak berdebu . semalaman hidung juga gatalgatal . kamar kecil . breakfast ala kadarnya . oke untuk tidur 1 malam . wifi nya kencang karena dapat kamar dekat router wifi . terimakasih untuk snack complimentarynya .| opini : <extra_id_0>",<extra_id_0> tidak ada ; <extra_id_1> kurang dingin ; <extra_id_2> agak berdebu ; <extra_id_3> kecil ; <extra_id_4> ala kadarnya ; <extra_id_5> kencang,o
"cukup bagus , sesuai dengan tarif . hanya air panas dari shower , tidak keluar pada pagi hari . terus makanan sarapan pagi kurang enak .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tarif <extra_id_1> sesuai ; <extra_id_2> air panas <extra_id_3> tidak keluar ; <extra_id_4> sarapan pagi <extra_id_5> kurang enak ; <extra_id_6> NULL <extra_id_7> cukup bagus,ao
"bersih , pelayanan ramah dan memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> ramah ; <extra_id_2> pelayanan <extra_id_3> memuaskan ; <extra_id_4> NULL <extra_id_5> bersih,ao
"lokasi susah ditemukan karena dari luar tidak kelihatan namanya . proses reservasi sedikit lama . tetapi roomnya nyaman , bersih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> lokasi <extra_id_1> susah ditemukan <extra_id_2> negative ; <extra_id_3> proses reservasi <extra_id_4> sedikit lama <extra_id_5> negative ; <extra_id_6> roomnya <extra_id_7> nyaman <extra_id_8> positive ; <extra_id_9> roomnya <extra_id_10> bersih <extra_id_11> positive,aos
"Fun especially when night sit sitting outside / terrace of the hotel , could see street scenes / people passing by each other without disturbed .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> could see street scenes,ao
"kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh !| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> kasur ; <extra_id_2> NULL,a
"pelayanan yang kurang baik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> kurang baik,ao
"tempat bersih , petugas ramah dan cantik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive ; <extra_id_2> petugas <extra_id_3> positive,as
"kamar rapi , bersih , termasuk toilet nya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> rapi ; <extra_id_2> kamar <extra_id_3> bersih ; <extra_id_4> toilet nya <extra_id_5> bersih,ao
kamar bersih petugas ramah .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> ramah,o
"kamar bersih , sayang tidak dapat sarapan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> sarapan <extra_id_3> negative,as
"letak strategis , nyaman mudah dicari dan harga terjangkau .| opini : <extra_id_0>",<extra_id_0> strategis ; <extra_id_1> mudah dicari ; <extra_id_2> terjangkau ; <extra_id_3> nyaman,o
kurang memadai .| opini : <extra_id_0>,<extra_id_0> kurang memadai,o
"bersih , nyaman dan helpful . bakal ke sana lagi kalau ke batu .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"tempatnya nyaman , bersih , cuma agak susah kalau cari makan . terimakasih airy .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> bersih,o
"bagus dan pelayanan memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> memuaskan <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> bagus <extra_id_5> positive,aos
"Overall okay .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> Overall <extra_id_1> okay,ao
"fasilitas oke .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> fasilitas <extra_id_1> positive,as
"desain kamar briliant . kamar tidak terlalu luas dan kamar mandi di dalam .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> desain kamar <extra_id_1> briliant,ao
"nyaman , hotelnya bagus wifi nya kurang oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotelnya <extra_id_1> bagus <extra_id_2> positive ; <extra_id_3> wifi nya <extra_id_4> kurang oke <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> nyaman <extra_id_8> positive,aos
lokasi oke .| aspek : <extra_id_0>,<extra_id_0> lokasi,a
"remote tv tidak ada baterai , air panas rusak , kamar kotor , tidaka ada bath math , berantakan . sudah follow up ke deva airy tidak ada respons ulang .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> remote tv <extra_id_1> tidak ada baterai ; <extra_id_2> air panas <extra_id_3> rusak ; <extra_id_4> kamar <extra_id_5> kotor ; <extra_id_6> bath math <extra_id_7> tidaka ada,ao
"The atmosphere at night many angkringan snacks hangout the atmosphere is quite crowded and makes you miss , the service is friendly , check-in is also fast .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> The atmosphere at night <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive ; <extra_id_4> check-in <extra_id_5> positive,as
"tilet kurang bersih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tilet <extra_id_1> kurang bersih <extra_id_2> negative,aos
"untuk harga yang sangat terjangkau , fasilitasnya melebihi ekspektasi . kamar luas , dingin . sayangnya water heater sedang dibenarkan dan kasur agak keras . cuma untuk harga begini , sangat sangat oke !| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> sangat terjangkau <extra_id_2> positive ; <extra_id_3> fasilitasnya <extra_id_4> melebihi ekspektasi <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> luas <extra_id_8> positive ; <extra_id_9> kamar <extra_id_10> dingin <extra_id_11> positive ; <extra_id_12> water heater <extra_id_13> sedang dibenarkan <extra_id_14> negative ; <extra_id_15> kasur <extra_id_16> agak keras <extra_id_17> negative ; <extra_id_18> NULL <extra_id_19> sangat sangat oke <extra_id_20> positive,aos
"petugas ramah , kamar bersih , fasilitas oke , walau wifinya kadang tidak nyantol ' , saya dan suami cukup puas : ) .| opini : <extra_id_0>",<extra_id_0> ramah ; <extra_id_1> bersih ; <extra_id_2> oke ; <extra_id_3> kadang tidak nyantol ; <extra_id_4> cukup puas,o
"pelayanan baik , tempatnya strategis ke mana mana saja dekat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> tempatnya <extra_id_3> positive,as
"kamarnya brisik . so far oke lah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> negative ; <extra_id_2> kamarnya <extra_id_3> positive,as
"kamar bersih , dekat minimarket , penjaga ramah dan sopan . tempat lumayan tenang .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> penjaga ; <extra_id_2> tempat,a
"ac dilantai bawah tidak nyala terpaksa pindah ke lantai 4 , nyala sih tetapi tidak begitu dingin .| opini : <extra_id_0>",<extra_id_0> tidak nyala ; <extra_id_1> tidak begitu dingin,o
lokasi strategis dekat kemana mana .| opini : <extra_id_0>,<extra_id_0> strategis,o
mantapp pokokee akan balik lagi .| opini : <extra_id_0>,<extra_id_0> mantapp,o
"lumayan dengan harga murah .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> murah <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> lumayan <extra_id_5> positive,aos
"its so worth it ! kamar yang luas , kebersihan lumayan , lokasi strategis . cukup menyenangkan sih menginap disini . apalagi waktu kemarin itu ada diskon 50 , jadi jatohnya itu murah banget ! .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> luas ; <extra_id_2> kebersihan <extra_id_3> lumayan ; <extra_id_4> lokasi <extra_id_5> strategis ; <extra_id_6> NULL <extra_id_7> worth it ; <extra_id_8> menginap <extra_id_9> cukup menyenangkan,ao
"ah . dikasih yang bau rokok .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as
"lokasinya nyaman dan tenang .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> lokasinya <extra_id_1> positive,as
